,,
Anesthesia (A),,
Code,Description,Tariff
A10,"Conduction, infiltration and / or intraligamentary anesthesia",€ 14.33
A15,Surface anesthesia,€ 7.45
A20,Treatment under general anesthesia or sedation,cost price
,,
Anesthesia by laughing gas (B),,
Code,Description,Tariff
B10,Introduction roesje (laughing gas sedation),€ 28.66
B11,Administration of ruff (laughing gas sedation),€ 28.66
B12,Overhead Costs Roesje (Laughing Gas sedation),€ 35.77
,,
Consultation and diagnosis (C),,
Code,Description,Tariff
C11,Periodic control,€ 21.78
C13,Problem-oriented consultation,€ 21.78
C22,Additional medical history after (written) routine questions,€ 21.78
C28,Extensive research for drafting and recording treatment plan,€ 103.16
C29 *,Study models for treatment plan,€ 28.66
C65,"Planned grinding of all front teeth, per upper or lower jaw",€ 57.31
C80,Oral care at home,€ 17.19
C84,Preparation treatment under general anesthesia,€ 45.85
C85,Weekend treatment,€ 21.78
C86,Evening treatment,€ 21.78
C87,Night treatment,€ 21.78
,,
Root canal treatments (E),,
Code,Description,Tariff
E01,Root canal treatment consultation,€ 21.78
E02,Extensive root canal treatment consultation,€ 40.12
E03,Consult after dental accident,€ 31.52
E04,Surcharge for costs when using rotating nickel titanium instruments,€ 46.74
E13,Root canal treatment per element with 1 canal,€ 103.16
E14,Root canal treatment per element with 2 canals,€ 149.01
E16,Root canal treatment per element with 3 canals,€ 194.86
E17,Root canal treatment per element with 4 or more canals,€ 240.71
E19,"Include calcium hydroxide or similar disinfectant per element, per session",€ 17.19
E31,Incisor / canine,€ 114.62
E32,Premolar,€ 160.47
E33,Molar,€ 206.32
E34 *,Apply retrograde filling,€ 22.92
E36 *,Extraction element with re-implantation,€ 80.24
E37,Viewing operation,€ 68.77
E40,Direct pulp cover,€ 28.66
E42,Replanting a displaced element after a dental accident,€ 11.46
E43 *,Securing element by means of a splint after dental accident,€ 22.92
E44,"Removing splint, per element",€ 5.73
E45,Apply rubber dam,€ 11.46
E51,Remove crown or bridge,€ 34.39
E52,Difficult root canal opening,€ 28.66
E53,Removal of root pin,€ 40.12
E54,Removal of root canal filling material,€ 28.66
E55,Treatment closed or calcified root canal,€ 28.66
E56 *,Continued treatment with iatrogenic damage,€ 40.12
E57,Treatment of element with exceptional anatomy,€ 28.66
E60 *,Completely or partially remove pulp tissue,€ 45.85
E61,"Treatment of open root point with calcium hydroxide, first session",€ 80.24
E62,"Treat open root tip with calcium hydroxide, every subsequent session",€ 51.58
E63 *,Surcharge for closing with Mineral Trioxide Aggregate (MTA) or a similar bioceramic material,€ 42.94
E64,Closure of open root point,€ 45.85
E66,Root canal treatment of milk element,€ 45.85
E77,"Initial root canal treatment, first canal",€ 57.31
E78,"Initial root canal treatment, each subsequent canal",€ 28.66
E85,Electronic length determination,€ 14.33
E86,Use surgical microscope for root canal treatment,€ 77.37
E87,Making practice room ready for root canal treatment,€ 57.31
E90,"Internal bleaching, first session",€ 45.85
E95,"Internal bleaching, every subsequent session",€ 17.19
E97 *,External bleaching per jaw,€ 71.64
,,
Jaw Joint Treatments (G),,
Code,Description,Tariff
G01,Extensive function research (UFO),€ 143.28
G02,Muscle activity measurement and registration,€ 91.70
G03,Documented jaw joint treatment reference,€ 63.04
G10,Non-standard bite registration,€ 85.97
G11,Hinge pin determination,€ 85.97
G12,Central relationship determination,€ 80.24
G13,Protral / lateral determinations,€ 57.31
G14,"Set fully adjustable articulator, pantograph and registration",€ 515.81
G15,Surcharge for maintaining bite height,€ 28.66
G16,Therapeutic positioning,€ 28.66
G20,Bite registration intra-orally,€ 57.31
G33 *,Front / canine guidance,€ 57.31
G61,Instruction muscle exercises,€ 57.31
