Verdoving (A);;
Code;Prestaties;Tarief
A10;Geleidings-, infiltratie- en/of intraligamentaire verdoving;¬18,97
A15;Oppervlakte verdoving;¬9,86
A20;Behandeling onder algehele anesthesie of sedatie;¬kostprijs
A30;Voorbereiding behandeling onder algehele anesthesie;¬60,69
;;
Verdoving door middel van een roesje (B);;
Code;Prestaties;Tarief
B10;Introductie roesje (lachgassedatie);¬37,93
B11;Toediening roesje (lachgassedatie);¬37,93
B12;Overheadkosten roesje (lachgassedatie);¬45,86
;;
Consultatie en Diagnostiek (C);;
Code;Prestaties;Tarief
C001;Consult ten behoeve van een intake, inclusief bepalen en bespreken zorgdoel;¬57,66
C002;Consult voor een periodieke controle;¬28,83
C003;Consult, niet zijnde periodieke controle;¬28,83
C010;Aanvullende medische anamnese na (schriftelijke) routinevragen;¬28,83
C011;Uitgebreid onderzoek ten behoeve van een second opinion;¬136,56
C012;Uitgebreid onderzoek ten behoeve van het integrale behandelplan;¬136,56
C013*;Studiemodellen;¬37,93
C014;Pocketregistratie;¬45,52
C015;Parodontiumregistratie;¬91,04
C016*;Maken en bespreken van een restauratieve proefopstelling;¬227,59
C020;Toeslag mondzorg aan huis;¬22,76
C021;Toeslag avond, nacht en weekend uren (anw-uren);¬31,86
C022;Droogleggen van elementen door middel van een rubberen lapje;¬15,17
C023;Toeslag specifieke mondzorg aan huis;¬98,62
;;
Wortelkanaalbehandelingen (E);;
Code;Prestaties;Tarief
E02;Uitgebreid wortelkanaalbehandeling consult bij CEB II of III;¬53,11
E03;Beoordelen trauma na tandheelkundig ongeval;¬41,73
E05;Onderzoek ten behoeve van de uitvoering van een complexe endodontische behandeling van een verwezen patiÃ«n;¬101,66
E60*;Geheel of gedeeltelijk weghalen van pulpaweefsel;¬60,69
E04;Toeslag voor kosten bij gebruik van roterende nikkel-titanium instrumenten;¬59,92
E13;Wortelkanaalbehandeling per element met 1 kanaal;¬136,56
E14;Wortelkanaalbehandeling per element met 2 kanalen;¬197,25
E16;Wortelkanaalbehandeling per element met 3 kanalen;¬257,94
E17;Wortelkanaalbehandeling per element met 4 of meer kanalen;¬318,63
E85;Elektronische lengtebepaling;¬18,97
E19;Tijdelijk afsluiten van een element na start wortelkanaalbehandeling;¬22,76
E66;Wortelkanaalbehandeling van melkelement;¬60,69
E52;Toeslag in geval van een moeilijke wortelkanaalopening;¬37,93
E53;Toeslag verwijderen van wortelstift;¬53,11
E54;Toeslag verwijderen van wortelkanaalvulmateriaal;¬37,93
E55;Toeslag behandeling dichtgeslibd of verkalkt wortelkanaal;¬37,93
E56*;Toeslag voortgezette behandeling bij weefselschade van de tandwortel;¬53,11
E57*;Toeslag behandeling van element met uitzonderlijke anatomie;¬37,93
E61;Behandelen van open wortelpunt met een desinfectiemiddel, eerste zitting;¬106,21
E62;Behandelen van open wortelpunt met een desinfectiemiddel, elke volgende zitting;¬68,28
E63*;Toeslag voor afsluiting met calciumsilicaatcement of een vergelijkbaar biokeramisch materiaal;¬56,90
E77;InitiÃ«le wortelkanaalbehandeling, eerste kanaa;¬75,86
E78;InitiÃ«le wortelkanaalbehandeling, elk volgend kanaa;¬37,93
E90;Inwendig bleken, eerste zitting;¬60,69
E95;Inwendig bleken, elke volgende zitting;¬22,76
E97*;Uitwendig bleken per kaak;¬94,83
E40*;Directe pulpa-overkapping;¬37,93
E42;Terugzetten van een verplaatst element na tandheelkundig ongeval;¬15,17
E43*;Vastzetten element d.m.v. een spalk na tandheelkundig ongeval;¬30,35
E44;Verwijderen spalk ten behoeve van de behandeling van een trauma-element;¬7,59
E31;Microchirurgische wortelkanaalbehandeling snij-/ hoektand;¬151,73
E32;Microchirurgische wortelkanaalbehandeling premolaar;¬212,42
E33;Microchirurgische wortelkanaalbehandeling molaar;¬273,11
E34*;Aanbrengen retrograde vulling;¬30,35
E36*;Het trekken en terugplaatsen van een element;¬106,21
E37;Kijkoperatie;¬91,04
E88;Opvullen van de pulpakamer en afsluiten van de kanaalingangen;¬75,86
E86;Gebruik operatiemicroscoop bij wortelkanaalbehandeling;¬102,42
E87;Gebruiksklaar maken van praktijkruimte voor microchirurgische wortelkanaalbehandeling;¬75,86
;;
Behandeling Kauwstelsel (G);;
Code;Prestaties;Tarief
G21;Functieonderzoek kauwstelsel;¬136,56
G22;Verlengd onderzoek OPD;¬273,11
G23;Spieractiviteitsmeting en registratie;¬121,38
G41;Consult OPD-therapie A (niet-complex);¬79,66
G62*;Stabilisatieopbeetplaat;¬204,83
G47;Evaluatie/herbeoordeling na OPD therapie A;¬91,04
G43;Consult OPD-therapie B (complex);¬153,25
G44*;Therapeutische injectie;¬83,45
G46*;Consult voor instructie apparatuur (eenmalig);¬60,69
G48;Evaluatie/herbeoordeling na OPD therapie B;¬151,73
G10;Niet-standaard beetregistratie;¬113,80
G11;Scharnierasbepaling;¬113,80
G12;Centrale relatiebepaling;¬106,21
G13;Protrale/laterale bepalingen;¬75,86
G14;Instellen volledig instelbare articulator, pantograaf en registratie;¬682,78
G16;Therapeutische positiebepaling;¬37,93
G20;Beetregistratie intra-oraal;¬75,86
G09;Occlusie analyse na meting m.b.v. digitale apparatuur;¬40,97
G15;Toeslag voor het behouden van beethoogte;¬37,93
