,,
Verdoving (A),, 
Code,Prestaties,Tarief
A10,"Geleidings-, infiltratie- en/of intraligamentaire verdoving","€ 14,33"
A15,Oppervlakte verdoving,"€ 7,45"
A20 ,Behandeling onder algehele anesthesie of sedatie,kostprijs
,,
Verdoving door middel van een roesje (B),, 
Code,Prestaties,Tarief
B10 ,Introductie roesje (lachgassedatie),"€ 28,66"
B11, Toediening roesje (lachgassedatie),"€ 28,66"
B12 ,Overheadkosten roesje (lachgassedatie),"€ 35,77"
,,
Consultatie en diagnostiek (C),, 
Code,Prestaties,Tarief
C11,Periodieke controle,"€ 21,78"
C13,Probleemgericht consult,"€ 21,78"
C22,Aanvullende medische anamnese na (schriftelijke) routinevragen,"€ 21,78"
C28 ,Uitgebreid onderzoek t.b.v. opstellen en vastleggen behandelplan,"€ 103,16"
C29 * ,Studiemodellen t.b.v. behandelplan,"€ 28,66"
C65 ,"Planmatig beslijpen van alle voortanden, per bovenof onderkaak","€ 57,31"
C80 ,Mondzorg aan huis,"€ 17,19"
C84,Voorbereiding behandeling onder algehele narcose,"€ 45,85"
C85 ,Weekendbehandeling,"€ 21,78"
C86,Avondbehandeling,"€ 21,78"
C87,Nachtbehandeling ,"€ 21,78"
,,
Wortelkanaalbehandelingen (E),, 
Code,Prestaties,Tarief
E01,Wortelkanaalbehandeling consult,"€ 21,78"
E02,Uitgebreid wortelkanaalbehandeling consult,"€ 40,12"
E03,Consult na tandheelkundig ongeval,"€ 31,52"
E04 ,Toeslag voor kosten bij gebruik van roterende nikkeltitanium instrumenten,"€ 46,74"
E13,Wortelkanaalbehandeling per element met 1 kanaal,"€ 103,16"
E14,Wortelkanaalbehandeling per element met 2 kanalen,"€ 149,01"
E16,Wortelkanaalbehandeling per element met 3 kanalen,"€ 194,86"
E17,Wortelkanaalbehandeling per element met 4 of meer kanalen,"€ 240,71"
E19 ,"Insluiten calciumhydroxide of daarmee vergelijkbare desinfectans per element, per zitting","€ 17,19"
E31,Snij-/hoektand,"€ 114,62"
E32,Premolaar,"€ 160,47"
E33,Molaar,"€ 206,32"
E34 *,Aanbrengen retrograde vulling,"€ 22,92"
E36 *,Het trekken van een element met re-implantatie,"€ 80,24"
E37,Kijkoperatie,"€ 68,77"
E40,Directe pulpa-overkapping,"€ 28,66"
E42,Terugzetten van een verplaatst element na tandheelkundig ongeval,"€ 11,46"
E43 * ,Vastzetten element d.m.v. een spalk na tandheelkundig ongeval,"€ 22,92"
E44 ,"Verwijderen spalk, per element","€ 5,73"
E45,Aanbrengen rubberdam,"€ 11,46"
E51,Verwijderen van kroon of brug,"€ 34,39"
E52,Moeilijke wortelkanaalopening,"€ 28,66"
E53,Verwijderen van wortelstift,"€ 40,12"
E54,Verwijderen van wortelkanaalvulmateriaal,"€ 28,66"
E55,Behandeling dichtgeslibd of verkalkt wortelkanaal,"€ 28,66"
E56 *,Voortgezette behandeling met iatrogene schade,"€ 40,12"
E57,Behandeling van element met uitzonderlijke anatomie,"€ 28,66"
E60 *,Geheel of gedeeltelijk weghalen van pulpaweefsel,"€ 45,85"
E61 ,"Behandelen van open wortelpunt met calciumhydroxide, eerste zitting","€ 80,24"
E62 ,"Behandelen van open wortelpunt met calciumhydroxide, elke volgende zitting","€ 51,58"
E63 * ,Toeslag voor afsluiting met Mineral Trioxide Aggregate (MTA) of een vergelijkbaar biokeramisch material,"€ 42,94"
E64,Afsluiting van open wortelpunt,"€ 45,85"
E66,Wortelkanaalbehandeling van melkelement,"€ 45,85"
E77,"Initiële wortelkanaalbehandeling, eerste kanaal","€ 57,31"
