Anesthesia (A);;
Code;Description;Price
A10;Conduction, infiltration and/or intraligamentous anaesthesia;€ 18,97
A15;Surface anesthesia;€ 9,86
A20;Treatment under general anesthesia or sedation;€cost price
A30;Preparation of treatment under general anesthesia;€ 60,69
;;
Anesthesia by means of sedation (B);;
Code;Description;Price
B10;Introduction to sedation (nitrous oxide sedation);€ 37,93
B11;Administration of sedation (nitrous oxide sedation);€ 37,93
B12;Overhead costs of sedation (nitrous oxide sedation);€ 45,86
;;
Consultation and Diagnostics (C);;
Code;Description;Price
C001;Consultation for an intake, including determining and discussing the care goal;€ 57,66
C002;Consultation for a periodic check-up;€ 28,83
C003;Consultation, not being periodic check-up;€ 28,83
C010;Additional medical history after (written) routine questions;€ 28,83
C011;Extensive research for a second opinion;€ 136,56
C012;Extensive research for the purpose of the integrated treatment plan;€ 136,56
C013*;The study model;€ 37,93
C014;Pocket registration;€ 45,52
C015;Periodontium registration;€ 91,04
C016*;Making and discussing a restorative test set-up;€ 227,59
C020;Allowance for oral care at home;€ 22,76
C021;Surcharge evening, night and weekend hours (surviving hours);€ 31,86
C022;Draining of elements by means of a rubber patch;€ 15,17
C023;Surcharge for specific oral care at home;€ 98,62
;;
Root canal treatments (E);;
Code;Description;Price
E02;Extensive root canal treatment consultation at CEB II or III;€ 53,11
E03;Assessing trauma after dental accident;€ 41,73
E05;Research for the purpose of performing a complex endodontic treatment of a referred patient;€ 101,66
E60*;Removal of pulp tissue in whole or in part;€ 60,69
E04;Surcharge for charges when using rotating nickel-titanium instruments;€ 59,92
E13;Root canal treatment per element with 1 canal;€ 136,56
E14;Root canal treatment per element with 2 canals;€ 197,25
E16;Root canal treatment per element with 3 canals;€ 257,94
E17;Root canal treatment per element with 4 or more canals;€ 318,63
E85;Electronic length determination;€ 18,97
E19;Temporary closure of an element after the start of root canal treatment;€ 22,76
E66;Root canal treatment of milk element;€ 60,69
E52;Supplement in case of a difficult root canal opening;€ 37,93
E53;Surcharge removal of root pin;€ 53,11
E54;Supplement removal of root canal filling material;€ 37,93
E55;Supplement treatment of clogged or calcified root canal;€ 37,93
E56*;Supplement for continued treatment for tissue damage to the tooth root;€ 53,11
