;;
Anesthesia (A);; 
Code;Performance;Rate
A10;Conduction, infiltration and / or intraligamentary anesthesia;€ 15,07
A15;Surface anesthetic;€ 7,84
A20;Treatment under general anesthesia or sedation;€ cost price
;;
Anesthesia by laughing gas (B);; 
Code;Performance;Rate
B10;Introduction roesje (laughing gas sedation);€ 30,15
B11;Administer intoxication (laughing gas sedation);€ 30,15
B12;Overhead roesje (laughing gas sedation);€ 37,38
;;
Consultation and diagnostics (C);; 
Code;Performance;Rate
C11;Periodic control;€ 22,91
C13;Problem-oriented consultation;€ 22,91
C22;Additional medical history after routine (written) questions;€ 22,91
C28;Extensive research for the purpose of drawing up, recording and providing a treatment plan to the patient;€ 108,53
C29 *;Study models;€ 30,15
C65;Systematic grinding of all front teeth, per upper or lower jaw;€ 60,29
C80;Oral care at home;€ 18,09
C84;Preparation for treatment under general anesthesia;€ 48,23
C85;Weekend treatment;€ 22,91
C86;Evening treatment;€ 22,91
C87;Night treatment;€ 22,91
C91;Pocket registration;€ 36,18
C92;Periodontium registration;€ 72,35
;;
Root canal treatments (E);; 
Code;Performance;Rate
E01;Root canal consultation;€ 22,91
E02;Extensive root canal consultation;€ 42,20
E03;Consultation after dental accident;€ 33,16
E04;Surcharge for costs when using rotating nickel-titanium instruments;€ 48,84
E13;Root canal treatment per element with 1 canal;€ 108,53
E14;Root canal treatment per element with 2 channels;€ 156,76
E16;Root canal treatment per element with 3 channels;€ 204,99
E17;Root canal treatment per element with 4 or more channels;€ 253,23
E19;Include calcium hydroxide or comparable disinfectant per element, per session;€ 18,09
E31;Cutting / canine tooth;€ 120,58
E32;Premolar;€ 168,82
E33;Molar;€ 217,05
E34 *;Apply retrograde filling;€ 24,12
E36 *;Drawing an element with re-implantation;€ 84,41
E37;Keyhole surgery;€ 72,35
E40;Direct pulp capping;€ 30,15
E42;Restoring a moved element after a dental accident;€ 12,06
E43 *;Fixing element by means of a splint after a dental accident;€ 24,12
E44;Removal of splint, per element;€ 6,03
E45;Applying a rubber dam;€ 12,06
E51;Removal of the crown or bridge;€ 36,18
E52;Difficult root canal opening;€ 30,15
E53;Removal of post;€ 42,20
E54;Removal of root canal filling material;€ 30,15
E55;Treatment of silted or calcified root canal;€ 30,15
E56 *;Continued treatment for tissue damage of the tooth root;€ 42,20
E57;Treatment of element with exceptional anatomy;€ 30,15
E60 *;Total or partial removal of pulp tissue;€ 48,23
E61;Treat the open root tip with calcium hydroxide, first session;€ 84,41
E62;Treat the open root tip with calcium hydroxide every subsequent session;€ 54,26
E63 *;Surcharge for sealing with Mineral Trioxide Aggregate (MTA) or a comparable bio-ceramic material;€ 45,22
E64;Closure of open root point;€ 48,23
E66;Root canal treatment of milk element;€ 48,23
E77;Initial root canal treatment, first canal;€ 60,29
E78;Initial root canal treatment, every subsequent canal;€ 30,15
E85;Electronic length determination;€ 15,07
E86;Use operating microscope for root canal treatment;€ 81,39
E87;Preparing a practice room for root canal treatment ready for use;€ 60,29
E88;Filling the pulp chamber and closing the channel inlets;€ 60,29
E90;Internal bleaching, first session;€ 48,23
E95;Internal bleaching every subsequent session;€ 18,09
E97 *;External bleaching per jaw;€ 75,37
;;
Temporomandibular joint treatments (G);; 
Code;Performance;Rate
G09;Occlusion analysis after measurement using digital equipment;€ 32,56
G10;Non-standard bite registration;€ 90,44
G11;Hinge axis determination;€ 90,44
G12;Central relationship determination;€ 84,41
G13;Protral / lateral determinations;€ 60,29
G14;Set up fully adjustable articulator, pantograph and registration;€ 542,63
G15;Surcharge for maintaining bite height;€ 30,15
G16;Therapeutic positioning;€ 30,15
G20;Bite registration intra-oral;€ 60,29
G21;Functional examination of the chewing system;€ 108,53
G22;Extended investigation OPD;€ 217,05
G23;Muscle activity measurement and registration;€ 96,47
G33 *;Apply front / canine guide;€ 60,29
G41;Consult OPD Therapy A (non-complex);€ 63,31
G43;Consult OPD therapy B (complex);€ 121,79
G44 *;Therapeutic injection;€ 66,32
G46 *;Consult for instruction equipment (once);€ 48,23
G47;Evaluation / reassessment after OPD therapy A.;€ 72,35
G48;Evaluation / reassessment after OPD therapy B;€ 120,58
G62 *;Stabilization on bite plate;€ 162,79
G65 *;Indirect systematic grinding;€ 331,61
G68 *;Repair stabilization bite plate with impression;€ 48,23
G69 *;Bite protection plate;€ 66,32
G71 *;Device for snoring and sleeping disorders (MRA);€ 301,46
G72;MRA inspection visit;€ 30,15
G73 *;Repair MRA with print;€ 48,23
G74;Therapy using myofunctional equipment;€ 127,22
;;
Surgical procedures (including anesthesia) (H);; 
Code;Performance;Rate
H11;Pull a tooth or molar;€ 45,22
H21;Cost of suture material;€ 6,18
H26;Suturing soft tissues;€ 66,32
H33;Hemisection of a molar;€ 72,35
H35;Difficult tooth extraction, with mucoperiostale fold-up;€ 72,35
H40;Correcting the shape of the jaw, per jaw;€ 54,26
H41;Removing the tab or tongue tie;€ 36,18
H42;Root tip surgery, per tooth root, without closure;€ 72,35
H43;Root tip surgery, per tooth root, with ante or retrograde closure;€ 96,47
H44;Primary antrum closure;€ 66,32
H50;Replace / replace tooth or molar, first tooth excluding root canal treatment;€ 60,29
H55;Replace / replace tooth or molar, neighboring element, excluding root canal treatment;€ 18,09
H59;Treatment of jaw fracture, per jaw;€ 84,41
H60;Marsupialization;€ 84,41
H65;Primary closure;€ 162,79
H70;Patchy fibroids, Schlotterkamm, tuber correction, etc., single-sided per jaw;€ 84,41
H75;Patchy fibroids, Schlotterkamm, tuber correction, etc., double-sided per jaw;€ 162,79
